product_id,spec_name,spec_value
2,Cổng giao tiếp,"USB Type-C
2x USB Type-C™ ports
1x USB Type-C™ port supporting:
• USB4® 40Gbps
• DisplayPort over USB-C
• Thunderbolt™ 4
• USB charging 5 V; 3 A
• DC-in port 20 V; 65 W
USB Standard A
2x USB Standard-A ports, supporting:
• One port for USB 3.2 Gen 1
• One port for USB 3.2 Gen 1 featuring power off USB charging
1x HDMI® 2.1 port with HDCP support
1x Headphone/speaker jack"
2,Audio,"DTS® X:Ultra Audio, featuring optimized Bass, Loudness, Speaker"
2,Bàn phím,"Có LED trắng, bảo mật vân tay"
2,Bảo mật,"Firmware Trusted Platform Module (TPM) solution 
BIOS user, supervisor passwords"
2,Chuẩn WIFI,Killer™ Wi-Fi 7 Wireless LAN
2,Bluetooth,v5.4
2,Webcam,1440p QHD video at 30 fps with Temporal Noise Reduction
2,Hệ điều hành,Windows 11 Home Single Language
2,Trọng lượng,1.26 kg
2,Pin,3 Cell 65Whrs
2,Màu sắc,Steam Blue
2,Chất liệu,"Cover A, C, D: Aluminum 
Cover B: ABS Plastic"
2,Kích thước,312.4 (W) x 221.2 (D) x 9.7/15.95 (H) mm
3,CPU,"Intel Core i9-14900HX (up to 5.80GHz, 36MB Cache)"
3,RAM,"16GB (2x8GB) DDR5 5600MHz (2x SO-DIMM socket, up to 96GB SDRAM)"
3,Ổ lưu trữ,1TB NVMe PCIe SSD Gen4x4 w/o DRAM (2x M.2 SSD slot)
3,Card đồ họa,"NVIDIA® GeForce RTX™ 4060 Laptop GPU 8GB GDDR6 powers advanced AI with 233 AI TOPS
Up to 2370MHz Boost Clock 140W Maximum Graphics Power with Dynamic Boost."
3,Màn hình,"16.0 inch QHD+ (2560x1600) 16:10, IPS 240Hz, 100% DCI-P3 (Typ.)"
3,Cổng giao tiếp,"x Type-C (USB3.2 Gen2 / DisplayPort™/ Power Delivery 3.0)
3x Type-A USB3.2 Gen1
1x HDMI™ 2.1 (8K @ 60Hz / 4K @ 120Hz)
1x RJ45"
3,Bàn phím,24-Zone RGB Gaming Keyboard with Copilot Key
3,Audio,Sound by Dynaudio and High-Resolution Audio ready (2x 2W Speaker)
3,Đọc thẻ nhớ,None
3,Kết nối có dây (LAN),Gb LAN
3,Kết nối không dây,802.11 ax Wi-Fi 6E + Bluetooth v5.3
3,Webcam,"HD type (30fps@720p), 3D Noise Reduction (3DNR)"
3,Pin,4-Cell 90Whr Battery (Whr)
3,Trọng lượng,2.5 kg
3,Hệ điều hành,Windows 11 Home
3,Màu sắc,Cosmos Gray
3,Kích thước,359 x 266.4 x 21.8-27.9 mm
4,CPU,"Intel® Core™ i5-11320H upto 4.5GHz, 8MB Cache"
4,RAM,16GB LPDDR4X 4266MHz Onboard (Không nâng cấp)
4,Ổ lưu trữ:,512GB SSD M.2 PCIE Gen3x4 (2 slots SSD M2 PCIe)
4,Card đồ họa,"NVIDIA® GeForce RTX™ 3050 with 4GB of dedicated GDDR6 VRAM
AI TOPs: 143 TOPs"
4,Màn hình,"16.1"" FHD (1920 x 1080) IPS SlimBezel, 60Hz, Acer ComfyView LED-backlit TFT LCD"
4,Cổng kết nối,"2 x USB 3.2 Gen 1 ports with one featuring power-off USB charging
1 x HDMI® 2.0 port with HDCP support
1 x 3.5 mm headphone/speaker jack, supporting headsets with built-in microphone
1 x DC-in jack for AC adapter
1 x USB Type-C port supporting"
4,Bàn phím,"Có led, có bàn phím số"
4,Audio,"DTS® Audio, featuring optimized bass response and micro-speaker
distortion prevention"
4, Bảo mật,Vân tay
4,Đọc thẻ nhớ,None
4,LAN,None
4,Wifi + Bluetooth,"Intel® Wireless Wi-Fi 6 AX201 (2x2), Bluetooth v5.1"
4,Webcam,HD Webcam (1280 x 720)
4,Hệ điều hành,Windows 11 Home
4,Pin,59Wh Li-ion battery
4,Trọng lượng,1.9 kg
4,Màu sắc,Steel Gray
4,Chất liệu,"Cover A: nhôm
Cover B: nhựa
Cover C: nhôm
Cover D: nhôm"
4,Kích thước,367.8 x 236.1 x 18.9  mm
5,CPU,"Intel® Core™ i5-13500H upto 4.70 GHz, 12 cores 16 threads, 18 MB Intel® Smart Cache"
5,RAM,16GB (1x16GB) LPDDR5 4800MHz Onboard (Không nâng cấp được)
5,Ổ cứng,"512GB PCIe NVMe SED SSD (1 khe đã cắm sẵn 512GB, nân cấp tối đã 1TB)"
5,Card đồ họa,Intel® Iris® Xe Graphics
5,Màn hình,"14"" 2.8K OLED WQXGA+ (2880 x 1800) SlimBezel, 90Hz, 400 nits, DCI-P3 100%"
5,Cổng giao tiếp,"2 x USB Type-C™ ports supporting:
• USB4® 40Gbps
• Thunderbolt™ 4
• USB charging 5 V; 3 A
• DC-in port 20 V; 100 W

2 x USB Standard-A ports, supporting:
• One port for USB 3.2 Gen 1
• One port for USB 3.2 Gen 1 featuring power off USB charging

1 x HDMI® 2.1 port with HDCP support
1 x Headphone/speaker jack
1 x microSD™ Card reader"""
5,Audio,Acer TrueHarmony technology
5,Bàn phím,"Có LED, Đơn sắc - Trắng"
5,Bảo mật,Power keycap fingerprint reader with on-chip matching design
5,Chuẩn WIFI,"• Killer™ Wireless Wi-Fi 6E 1675i
 • 802.11 a/b/g/n/ac/ax/be
 • Band: 2.4 GHz, 5 GHz, and 6 GHz
 • 2x2 MIMO technology"
5,Bluetooth,v5.3
5,Webcam,"2560 x 1440 resolution
1440p QHD video at 30 fps with Temporal"
5,Hệ điều hành,Windows 11 Home Single Language
5,Trọng lượng,1.3 kg
5,Pin,65 Whr 4-cell 
5,Màu sắc,Sunshiny Gold
5,Chất liệu,"Cover A/C/D: Aluminum
Cover B: Nhựa"
5,Kích thước,312.9 (W) x 217.9 (D) x 14.9 (H) mm
6,CPU,"Intel® Core™ i7-13650HX, 14C (6P + 8E) / 20T, P-core 2.6 / 4.9GHz, E-core 1.9 / 3.6GHz, 24MB"
6,RAM,"24GB (2x12GB) DDR5-4800 SO-DIMM (2x SO-DIMM socket, up to 32GB SDRAM)"
6,Ổ cứng,512GB SSD M.2 2242 PCIe 4.0x4 NVMe (2 Slots: M2 2242 PCIe 4.0 x4 Slot/ M.2 2280 PCIe 4.0 x4 Slot)
6,Card đồ họa,"NVIDIA® GeForce RTX™ 4050 6GB GDDR6, Boost Clock 2370MHz, TGP 105W"
6,Màn hình,"15.6"" FHD (1920x1080) IPS 300nits Anti-glare, 100% sRGB, 144Hz, G-SYNC®"
6,Cổng kết nối,"3x USB-A (USB 5Gbps / USB 3.2 Gen 1)
1x USB-C® (USB 10Gbps / USB 3.2 Gen 2), with PD 140W and DisplayPort™ 1.4
1x HDMI® 2.1, up to 8K/60Hz
1x Headphone / microphone combo jack (3.5mm)
1x Ethernet (RJ-45)
1x Power connector"
6,Bàn phím,"4-Zone RGB Backlit, English"
6,Audio,"High Definition (HD) Audio, Realtek® ALC3287 codec"
6,Chuẩn Lan,100/1000M
6,Wifi + Bluetooth,"Wi-Fi 6 11ax, 2x2 + BT5.1"
6,Webcam,FHD 1080p with E-shutter
6,Hệ điều hành    ,Windows 11 Home
6,Pin,Integrated 60Wh (4 Cell)
6,Trọng lượng,2.4 kg
6,Màu sắc,Luna Grey
6,Chất liệu,"PC-ABS (Top), PC-ABS (Bottom)"
6,Kích thước    ,359.6 x 264.8 x 22.1-25.2 mm
7,CPU,"Intel® Core™ i9-14900HX 2.2 GHz (36MB Cache, up to 5.8 GHz, 24 cores, 32 Threads)"
7,RAM,"64GB (2x32GB) DDR5 5600MHz (2x SO-DIMM socket, up to 64GB SDRAM)"
7,Ổ Cứng,"2TB (2x1TB) PCIe® 4.0 NVMe™ M.2 Performance SSD (RAID 0) (2x slot SSD, nâng cấp tối đa 2TB/1 slot)"
7,Card đồ họa,"NVIDIA® GeForce RTX™ 4090 Laptop GPU 16GB GDDR6 (686 AI TOPs)
ROG Boost: 2090MHz* at 175W (2040MHz Boost Clock+50MHz OC, 150W+25W Dynamic Boost)"
7,Màn hình,"18"" 2.5K (2560 x 1600, WQXGA) 16:10, 240Hz 3ms, Mini LED, 1100nits, Anti-glare display, G-Sync, Pantone Validated, ROG Nebula HDR Display"
7,Cổng kết nối,"1x 3.5mm Combo Audio Jack
1x HDMI 2.1 FRL
2x USB 3.2 Gen 2 Type-A
1x USB 3.2 Gen 2 Type-C support DisplayPort™ / power delivery / G-SYNC
1x 2.5G LAN port
1x Thunderbolt™ 4 support DisplayPort™ / G-SYNC"
7,Bàn phím,Backlit Chiclet Keyboard Per-Key RGB
7,Audio,"Dolby Atmos, Hi-Res certification, Smart Amp Technology, AI noise-canceling technology"
7,Lan,10/100/1000/2500 Mbps
7,Wifi + Bluetooth,Wi-Fi 6E(802.11ax) (Triple band) 2*2 + Bluetooth® 5.3 Wireless Card
7,Webcam,720P HD camera
7,Hệ điều hành,No preinstalled OS
7,Pin,"90WHrs, 4S1P, 4-cell Li-ion"
7,Trọng lượng,3.10 Kg (6.83 lbs)
7,Màu sắc,Off Black
7,Kích thước,"39.9 x 29.4 x 2.31 ~ 3.08 cm (15.71"" x 11.57"" x 0.91"" ~ 1.21"")"
8,CPU,"Intel® Core™ i9-14900HX 2.2 GHz (36MB Cache, up to 5.8 GHz, 24 cores, 32 Threads)"
8,RAM,"32GB (2x16GB) DDR5 5600MHz (2x SO-DIMM socket, up to 64GB SDRAM)"
8,Ổ Cứng,"1TB (1x1TB) PCIe® 4.0 NVMe™ M.2 Performance SSD (2x slot SSD, nâng cấp tối đa 2TB/1 slot)"
8,Card đồ họa,"NVIDIA® GeForce RTX™ 4080 Laptop GPU 12GB GDDR6 (542 AI TOPs)
ROG Boost: 2090MHz* at 175W (2040MHz Boost Clock+50MHz OC, 150W+25W Dynamic Boost)"
8,Màn hình,"18"" 2.5K (2560 x 1600, WQXGA) 16:10, 240Hz 3ms, Mini LED, 1100nits, Anti-glare display, G-Sync, Pantone Validated, ROG Nebula HDR Display"
8,Cổng kết nối,"1x 3.5mm Combo Audio Jack
1x HDMI 2.1 FRL
2x USB 3.2 Gen 2 Type-A
1x USB 3.2 Gen 2 Type-C support DisplayPort™ / power delivery / G-SYNC
1x 2.5G LAN port
1x Thunderbolt™ 4 support DisplayPort™ / G-SYNC"
8,Bàn phím,Backlit Chiclet Keyboard Per-Key RGB
8,Audio,"Dolby Atmos, Hi-Res certification, Smart Amp Technology, AI noise-canceling technology"
8,Lan,10/100/1000/2500 Mbps
8,Wifi + Bluetooth,Wi-Fi 6E(802.11ax) (Triple band) 2*2 + Bluetooth® 5.3 Wireless Card
8,Webcam,720P HD camera
8,Hệ điều hành,No preinstalled OS
8,Pin,"90WHrs, 4S1P, 4-cell Li-ion"
8,Trọng lượng,3.10 Kg (6.83 lbs)
8,Màu sắc,Off Black
8,Kích thước,"39.9 x 29.4 x 2.31 ~ 3.08 cm (15.71"" x 11.57"" x 0.91"" ~ 1.21"")"
9,CPU,"Intel® Core™ i9 Processor 14900HX 2.2 GHz (36MB Cache, up to 5.8 GHz, 24 cores, 32 Threads)"
9,RAM,"32GB (2x16GB) DDR5 5600MHz  (2x slots, up to 32GB)"
9,Ổ lưu trữ,"1TB PCIe® 4.0 NVMe™ M.2 SSD (2x slots, upto 2TB SSD)"
9,Card đồ họa,"NVIDIA® GeForce RTX™ 4070 Laptop GPU 8GB GDDR6 (321 AI TOPs)
ROG Boost: 2225MHz* at 140W (2175MHz Boost Clock+50MHz OC, 115W+25W Dynamic Boost)"
9,Màn hình,"16 inch QHD+ 16:10 (2560 x 1600, WQXGA) 240Hz 3ms, 100% DCI-P3, chống chói, G-Sync, đạt chuẩn Pantone, ROG Nebula Display"
9,Cổng giao tiếp,"1x RJ45 LAN port
1x Thunderbolt™ 4 support DisplayPort™
1x USB 3.2 Gen 2 Type-C support DisplayPort™ / power delivery / G-SYNC
2x USB 3.2 Gen 2 Type-A
1x HDMI 2.1 FRL
1x 3.5mm Combo Audio Jack"
9,Bàn phím,Backlit Chiclet Keyboard Per-Key RGB
9,Audio,2-speaker system with Smart Amplifier Technology
9,Đọc thẻ nhớ,None
9,Kết nối có dây (LAN),10/100/1000 Mbps
9,Kết nối không dây,Wi-Fi 6E(802.11ax) (Triple band) 2*2
9,Bluetooth,Bluetooth® 5.3 Wireless
9,Webcam,720P HD camera
9,Hệ điều hành,Windows 11 Home
9,Pin,4 Cell 90WHrs
9,Trọng lượng,2.5 kg
9,Màu sắc,Eclipse Gray
9,Kích thước,35.4 x 26.4 x 2.26 ~ 3.04 cm
10,CPU,Intel Core i5-1335U 1.3GHz up to 4.6GHz 12MB
10,RAM,"16GB (2x8GB) DDR4 3200MHz (2x SO-DIMM socket, up to 32GB SDRAM)"
10,Ổ cứng,512GB NVMe PCIe Gen4 SSD (1 x slots M.2 NVMe PCIe Gen4)
10,Card đồ họa,Intel Iris Xe Graphics
10,Màn hình,"15.6"" FHD (1920 x 1080) IPS-Level, 60Hz, 45% NTSC, Thin Bezel, 65% sRGB"
10,Cổng giao tiếp,"1x Type-C (USB3.2 Gen2 / DisplayPort™/ Power Delivery 3.0)
3x Type-A USB3.2 Gen1
1x Micro SD Card Reader
1x HDMI™ (4K @ 30Hz)
1x RJ45
1x Mic-in/Headphone-out Combo Jack"
10,Bàn phím,Single Backlit Keyboard (White)
10,Audio,2x 2W Audio Speaker
10,LAN,Gigabit Ethernet
10,Wifi + Bluetooth,"802.11 ax Wi-Fi 6E, Bluetooth v5.3"
10,Webcam,HD type (30fps@720p)
10,Bảo mật,"Fingerprint Security, Discrete Trusted Platform Module(dTPM) 2.0, Firmware Trusted Platform Module(fTPM) 2.0, Webcam Shutter, Kensington Lock"
10,Pin,3 Cell 46.8 WHr
10,Trọng lượng,1.7 kg
10,Hệ điều hành,Windows 11 Home
10,Màu sắc,Urban Silver
10,Kích thước,358.9 x 235.9 x 19.9 mm
11,CPU,Intel Core i5-13420H 2.1GHz up to 4.6GHz 12MB
11,RAM,"16GB (2 x 8GB) DDR4 3200MHz (2x SO-DIMM socket, up to 64GB SDRAM)"
11,Ổ cứng,"512GB NVMe PCIe SSD Gen3x4 (Còn trống 1x 2.5"" SATA HDD slot)"
11,VGA,"NVIDIA® GeForce RTX™ 2050 4GB UUp to 1170MHz Boost Clock 45W Maximum Graphics Power with Dynamic Boost.
AI TOPs: 104 TOPs"
11,Màn hình,"15.6"" FHD (1920 x 1080), 144Hz, IPS-Level, 45% NTSC, 65% sRGB"
11,Cổng giao tiếp,"1x Type-C (USB3.2 Gen1 / DP)
3x Type-A USB3.2 Gen1
1x HDMI™ (4K @ 30Hz)
1x RJ45
1x Mic-in/Headphone-out Combo Jack"
11,Bàn phím,Single Backlit Keyboard (Blue)
11,Audio,2x 2W Speaker
11,Chuẩn LAN,Gigabit Ethernet
11,Chuẩn WIFI,802.11 ax Wi-Fi 6E
11,Bluetooth,v5.3
11,Webcam,HD type (30fps@720p)
11,Hệ điều hành,Windows 11 Home
11,Pin,3-Cell 52.4 Battery (Whr)
11,Trọng lượng,1.86 kg
11,Màu sắc,Cosmos Gray
11,Kích thước,359 x 254 x 21.7 mm
12,CPU,"Intel® Core™ Ultra 7 Processor 155H 1.4 GHz (24MB Cache, up to 4.8 GHz, 16 cores, 22 Threads); Intel® AI Boost NPU"
12,RAM,"16GB (16x1) DDR5 5600MHz (2x SO-DIMM socket, up to 32GB SDRAM)"
12,Ổ cứng,1TB NVMe PCIe Gen4x4 SSD (1 x slots M.2 NVMe PCIe Gen4)
12,Card đồ họa,"NVIDIA® GeForce RTX™ 3050 Laptop GPU
Up to 1057.5MHz Boost Clock 45W Maximum Graphics Power with Dynamic Boost"
12,Màn hình,"14"" FHD+(1920x1200), 144Hz Refresh Rate, IPS-Level, 100%sRGB(Typical)"
12,Cổng giao tiếp,"1x Type-A USB3.2 Gen2
1x Type-C (USB3.2 Gen2 / DisplayPort™/ Power Delivery 3.0)
1x Thunderbolt™ 4 (DisplayPort™/ Power Delivery 3.1)
1x Mic-in/Headphone-out Combo Jac
1x HDMI™ 2.1 (8K @ 60Hz / 4K @ 120Hz)"
12,Bàn phím,Single Backlit Keyboard (White) with Copilot Key
12,Audio,"2x 2W Audio Speaker
Hi-Res Audio Ready, DTS Audio Processing
Spatial Array Microphone (3 Mic)"
12,LAN,Gigabit Ethernet
12,Wifi + Bluetooth,"Intel® Killer™ Wi-Fi 7 BE1750, Bluetooth v5.4"
12,Webcam,"IR FHD type (30fps@1080p) with HDR
3D Noise Reduction+ (3DNR+)"
12,Bảo mật,"Fingerprint Security, Discrete Trusted Platform Module(dTPM) 2.0, Firmware Trusted Platform Module(fTPM) 2.0, Webcam Shutter, Kensington Lock"
12,Pin,4-Cell 90 Whrs
12,Trọng lượng,1.7 kg
12,Hệ điều hành,Windows 11 Home
12,Màu sắc,Stellar Gray
12,Kích thước,313.4 x 246.5 x 18.95 mm
13,CPU,"Intel® Core™ Ultra 7 Processor 155H 1.4 GHz (24MB Cache, up to 4.8 GHz, 16 cores, 22 Threads); Intel® AI Boost NPU"
13,RAM,"32GB (16x2) DDR5 5600MHz (2x SO-DIMM socket, up to 32GB SDRAM)"
13,Ổ cứng,1TB NVMe PCIe Gen4x4 SSD (1 x slots M.2 NVMe PCIe Gen4)
13,Card đồ họa,"NVIDIA® GeForce RTX™ 4050 6GB GDDR6 powers advanced AI with 194 AI TOPS
Up to 1605MHz Boost Clock 45W Maximum Graphics Power with Dynamic Boost."
13,Màn hình,"14"" 2.8K (2880 x 1800), IPS-Level, 100% DCI-P3(Typical)"
13,Cổng giao tiếp,"1x Type-A USB3.2 Gen2
1x Type-C (USB3.2 Gen2 / DisplayPort™/ Power Delivery 3.0)
1x Thunderbolt™ 4 (DisplayPort™/ Power Delivery 3.1)
1x Mic-in/Headphone-out Combo Jac
1x HDMI™ 2.1 (8K @ 60Hz / 4K @ 120Hz)"
13,Bàn phím,Single Backlit Keyboard (White) with Copilot Key
13,Audio,"2x 2W Audio Speaker
Hi-Res Audio Ready, DTS Audio Processing
Spatial Array Microphone (3 Mic)"
13,LAN,Gigabit Ethernet
13,Wifi + Bluetooth,"Intel® Killer™ Wi-Fi 7 BE1750, Bluetooth v5.4"
13,Webcam,"IR FHD type (30fps@1080p) with HDR
3D Noise Reduction+ (3DNR+)"
13,Bảo mật,"Fingerprint Security, Discrete Trusted Platform Module(dTPM) 2.0, Firmware Trusted Platform Module(fTPM) 2.0, Webcam Shutter, Kensington Lock"
13,Pin,4-Cell 90 Whrs
13,Trọng lượng,1.7 kg
13,Hệ điều hành,Windows 11 Home
13,Màu sắc,Stellar Gray
13,Kích thước,313.4 x 246.5 x 18.95 mm
20,CPU,"AMD Ryzen™ 7 6800H (3.2 GHz upto 4.7 GHz, 8 nhân 16 luồng, L2 Cache: 4MB, L3 Cache: 16MB)"
20,Ram,"16GB (2x8GB) DDR5 4800MHz (2x SO-DIMM socket, up to 32GB SDRAM)"
20,Ổ cứng,"512GB PCIe NVMe SED SSD (Còn trống 1 khe SSD M.2 PCIE, nâng cấp tối đa 2TB)"
20,Card đồ họa,NVIDIA® GeForce RTX™ 3060 with 6 GB of dedicated GDDR6 VRAM
20,Màn hình,"15.6"" FHD (1920 x 1080) IPS 165Hz SlimBezel, 100% sRGB, Acer ComfyViewTM LED-backlit TFT LCD"
20,Cổng giao tiếp," 2 x USB 3.2 Gen 2 ports with one featuring power-off USB charging
1 x USB 3.2 Gen 1 port
1 x USB Type-C™ port: USB 3.2 Gen 2 (up to 10 Gbps)
• USB 3.2 Gen 2 (up to 10 Gbps)
• DisplayPort over USB-C
• USB charging 5 V; 3 A
• DC-in port 20 V; 100 W
1 x 3.5 mm headphone/speaker jack, supporting headsets with built-in
microphone
1 x DC-in jack for AC adapter
1 x Ethernet (RJ-45) port
1 x HDMI®2.1 port with HDCP support
(Notes: HDMI2.1: Support 4K 120Hz HDR, 8K 60Hz HDR, VRR, G-sync
compatible external monitor)"
20,Audio,"DTS® X:Ultra Audio, Acer TrueHarmony™"
20,Bàn phím,RGB 4 Zone
20,Tản nhiệt,2 quạt
20,Chuẩn LAN,Killer™ Ethernet E2600
20,Chuẩn WIFI,Wi-Fi 6E 802.11AX (2x2)
20,Bluetooth,Bluetooth® 5.2
20,Webcam,720p HD video at 30 fps with Temporal Noise Reduction
20,Hệ điều hành,Windows 11 Home Single Language
20,Pin,4 Cell 57WHr
20,Trọng lượng,2.5 kg
20,Màu sắc,Obsidian black
20,Chất liệu,"Cover A, B, C, D: nhựa cứng Polycarbonate"
20,Kích thước,360.4 x 271.09 x 25.9~26.9 (mm)
21,CPU,"Intel® Core™ i7-14650HX (3.70 GHz upto 5.20 GHz, 16 nhân 24 luồng, 30 MB Intel® Smart Cache)"
21,RAM,"16GB (1x16GB) DDR5 5600MHz (2x SO-DIMM socket, up to 96GB SDRAM)"
21,Ổ cứng,"1TB PCIe NVMe SED SSD (Còn trống 1 khe SSD M.2 PCIE Gen 4, nâng cấp tối đa 2TB SSD PCIe Gen 4)"
21,VGA,"NVIDIA® GeForce RTX™ 4060 with 8 GB of dedicated GDDR6 VRAM, supporting 3072 NVIDIA® CUDA® Cores"
21,Màn hình,"16"" WQXGA (2560 x 1600), 500 nits, 100% DCI-P3, 240Hz, Anti-glare, Acer ComfyView™ LED-backlit TFT LCD, Nvidia Advanced Optimus capable"
21,Cổng giao tiếp,"2x USB Type-C™ port (supporting USB 3.2 Gen 2 (up to 10 Gbps); DisplayPort over USB-C; Thunderbolt™ 4; USB charging 5 V - 3 A, DC-in port 20 V - 65 W)
1x USB 3.2 Gen 1
1x USB 3.2 Gen 2
1x USB 3.2 Gen 2 featuring power off USB charging
1x HDMI® 2.1 port with HDCP support
1x 3.5 mm headphone/speaker jack, supporting headsets with built-in microphone
1x Ethernet (RJ-45) port
1x DC-in jack for AC adapter
1x MicroSD™ Card reader"
21,Bàn phím,"Full size, RGB 4 Zone"
21,Audio,DTS X:Ultra Audio
21,Tản nhiệt,"Dual Fan (1x AeroBlade 3D 5th gen)
Liquid Metal"
21,Chuẩn LAN,Killer™ Ethernet E3100G
21,Chuẩn WIFI,Killer Wireless Wi-Fi 6E 1675i
21,Bluetooth,v5.3
21,Webcam,"• Narrow USB HD camera
• 1280 x 720 resolution
• 720p HD video at 30 fps with Temporal Noise Reduction"
21,Hệ điều hành,Windows 11 Home Single Language
21,Pin,90Whr 4-cell
21,Trọng lượng,2.8 kg
21,Màu sắc,Obsidian black
21,Chất liệu,"Cover A: Aluminium
 Cover B,C,D: ABS Plastic"
21,Kích thước,357.78 (W) x 278.63 (D) x 25.95/27.85 (H) mm
22,CPU,"Intel® Core™ i7-13620H (3.6GHz up to 4.9GHz, 10 Cores 16 Threads, 24 MB Intel® Smart Cache)"
22,Ram,"16GB (2x8GB) DDR5 5200MHz (2x SO-DIMM socket, up to 32GB SDRAM)"
22,Ổ cứng,"512GB PCIe NVMe SED SSD (Còn trống 1 khe SSD M.2 PCIE, nâng cấp tối đa 2TB)"
22,Card đồ họa,NVIDIA® GeForce RTX™ 4050 with 6GB of dedicated GDDR6 VRAM
22,Màn hình,"15.6"" FHD (1920 x 1080) IPS, 300nits,180Hz, sRGB 100%, ""Acer ComfyView™ LED-backlit TFT LCD
 Wide viewing angle up to 170 degree 
 Ultra-slim design"
22,Cổng giao tiếp,"1 x USB Type-C™ port supporting:
• USB 3.2 Gen 2 (up to 10 Gbps)
• DisplayPort over USB-C
• Thunderbolt™ 4
• USB charging 5 V; 3 A
• DC-in port 20 V; 65 W
3 x USB Standard-A ports, supporting:
• One port for USB 3.2 Gen 1 featuring power off USB charging
• Two ports for USB 3.2 Gen 1
1 x HDMI® 2.1 port with HDCP support
1 x 3.5 mm headphone/speaker jack, supporting headsets with built-in
microphone
1 x Ethernet (RJ-45) port
1 x DC-in jack for AC adapter"
22,Audio,DTS® X:Ultra
22,Bàn phím,Led trắng
22,Đọc thẻ nhớ,None
22,Chuẩn LAN,Gigabit Ethernet
22,Chuẩn WIFI,"802.11a/b/g/n/ac+ax wireless LAN
Dual Band (2.4 GHz and 5 GHz)"
22,Bluetooth,Bluetooth® 5.1
22,Webcam,720p HD audio/video recording
22,Hệ điều hành,Windows 11 Home
22,Pin,4 Cell 57WHr
22,Trọng lượng,2.1 kg
22,Màu sắc,Obsidian Black
22,Kích thước,362.3 (W) x 239.89 (D) x 22.9/26.9 (H) mm
23,CPU,"Intel® Core™ i7-13620H (3.6GHz up to 4.9GHz, 10 Cores 16 Threads, 24 MB Intel® Smart Cache)"
23,Ram,"16GB (1x16GB) DDR5 5200MHz (2x SO-DIMM socket, up to 32GB SDRAM)"
23,Ổ cứng,"512GB PCIe NVMe SED SSD (Còn trống 1 khe SSD M.2 PCIE, nâng cấp tối đa 2TB)"
23,Card đồ họa,NVIDIA® GeForce RTX™ 3050 with 6GB of dedicated GDDR6 VRAM
23,Màn hình,"15.6"" FHD (1920 x 1080) IPS, 300nits,180Hz, sRGB 100%, ""Acer ComfyView™ LED-backlit TFT LCD
 Wide viewing angle up to 170 degree 
 Ultra-slim design"
