product_id,spec_name,spec_value
4,VGA,"NVIDIA® GeForce RTX™ 4060 8GB GDDR6 (TGP: 120W, Boost clock: 2250 Mhz)"
4,Màn hình,"16.1"" FHD (1920 x 1080), 144 Hz, IPS, micro-edge, anti-glare, 250 nits, 45% NTSC"
4,Cổng giao tiếp,"1x USB Type-C® 5Gbps signaling rate (USB Power Delivery, DisplayPort™ 1.4, HP Sleep and Charge)
1x USB Type-A 5Gbps signaling rate (HP Sleep and Charge)
2x USB Type-A 5Gbps signaling rate
1x HDMI 2.1
1x RJ-45
1x AC smart pin
1x headphone/microphone combo"
4,Bàn phím,"Full-size, 1-zone RGB backlit, moonstone grey keyboard with numeric keypad"
4,Audio,Audio by B&O; Dual speakers; HP Audio Boost
4,Chuẩn LAN,10/100/1000 GbE LAN
4,Chuẩn WIFI,MediaTek Wi-Fi 6E MT7922 (2x2)
4,Bluetooth,v5.3
4,Webcam,HP True Vision 1080p FHD camera with temporal noise reduction and integrated dual array digital microphones
4,Hệ điều hành,Windows 11 Home
4,Pin,4 Cell 70WHr
4,Trọng lượng,2.31 kg
4,Màu sắc,"Mica silver, dark chrome logo"
4,Kích thước,36.9 x 25.94 x 2.29~2.39 cm
5,CPU,"AMD Ryzen™ 5 7640HS (up to 5.0 GHz max boost clock, 16 MB L3 cache, 6 cores, 12 threads)"
5,RAM,"16GB (2x8GB) DDR5 5600MHz (2x SO-DIMM socket, up to 32GB SDRAM)"
5,Ổ cứng,512 GB PCIe® Gen4 NVMe™ TLC M.2 SSD (1 slot)
5,VGA,NVIDIA® GeForce RTX™ 3050 6GB GDDR6
5,Màn hình,"16.1"" FHD (1920 x 1080), 144 Hz, IPS, micro-edge, anti-glare, 250 nits, 45% NTSC"
5,Cổng giao tiếp,"1x USB Type-C® 5Gbps signaling rate (USB Power Delivery, DisplayPort™ 1.4a, HP Sleep and Charge)
1x USB Type-A 5Gbps signaling rate (HP Sleep and Charge)
2x USB Type-A 5Gbps signaling rate
1x HDMI 2.1
1x RJ-45
1x AC smart pin
1x headphone/microphone combo"
5,Bàn phím,"Full-size, 1-zone RGB backlit, moonstone grey keyboard with numeric keypad"
5,Audio,Audio by B&O; Dual speakers; HP Audio Boost
5,Chuẩn LAN,10/100/1000 GbE LAN
5,Chuẩn WIFI,MediaTek Wi-Fi 6E MT7922 (2x2)
5,Bluetooth,v5.3
5,Webcam,HP True Vision 1080p FHD camera with temporal noise reduction and integrated dual array digital microphones
5,Hệ điều hành,Windows 11 Home
5,Pin,4 Cell 70WHr
5,Trọng lượng,2.31 kg
5,Màu sắc,"Mica silver, dark chrome logo"
5,Kích thước,36.9 x 25.94 x 2.29~2.39 cm
6,CPU,Intel® Core™ i9-13900HX 2.2GHz up to 5.4GHz 36MB
6,RAM,"32GB (16x2) DDR5 5600MHz (2x SO-DIMM socket, up to 32GB SDRAM)"
6,Ổ cứng,1 TB PCIe® Gen4 NVMe™ TLC M.2 SSD
6,Card đồ họa,NVIDIA® GeForce RTX™ 4070 8GB GDDR6
6,Màn hình,"16.1""  QHD (2560 x 1440), 240 Hz, 3 ms response time, IPS, micro-edge, anti-glare, Low Blue Light, 300 nits, 100% sRGB"
6,Cổng kết nối,"2x Thunderbolt™ 4 with USB Type-C® 40Gbps signaling rate (USB Power Delivery, DisplayPort™ 1.4, HP Sleep and Charge)
1x USB Type-A 5Gbps signaling rate (HP Sleep and Charge)
1x USB Type-A 5Gbps signaling rate
1x HDMI 2.1
1x RJ-45
1x AC smart pin
1x headphone/microphone combo"
6,Bàn phím,"Full-size, 4-zone RGB backlit, shadow black keyboard with numeric keypad and 26-Key Rollover Anti-Ghosting Key technology"
6,Audio,Audio by Bang & Olufsen; DTS:X® Ultra; Dual speakers; HP Audio Boost
6,Chuẩn Lan,Integrated 10/100/1000 GbE LAN
6,Wifi + Bluetooth,Intel® Wi-Fi 6E AX211 (2x2) + v5.3
6,Webcam,HP True Vision 1080p FHD camera with temporal noise reduction and integrated dual array digital microphones
6,Hệ điều hành    ,Windows 11 Home
6,Pin,6 Cell 83WHr
6,Trọng lượng,2.35 kg
6,Màu sắc,Shadow black
6,Kích thước    ,36.9 x 25.94 x 2.35 cm
